Category,Name,Date/Time,Length,Link,Location,Type
Contest,"IN4MALS Beginner Track-Preparatory [private, icpc, individual]","October 22, 2021 19:30:00( IST )",1 days 00:00:00,https://lightoj.com/contest/in4prep,"Everywhere, Worldwide",Digital Only
Contest,"ICCS312 - PA2 [private, icpc, individual]","October 19, 2021 17:00:00( IST )",6 days 23:59:00,https://lightoj.com/contest/iccs312-pa2,"Everywhere, Worldwide",Digital Only
Contest,Qualification of Belarus and Baltics Regional Contest 2021 - practice,"October 23, 2021 13:00:00( IST )",0 days 17:55:00,https://acm.bsu.by/contests/160/standings/,"Everywhere, Worldwide",Digital Only
Contest,M*CTF 2021 Quals,"October 23, 2021 11:00:00( IST )",1 days 00:00:00,https://ctftime.org/event/1439/,"Everywhere, Worldwide",Digital Only
Contest,Collegiate SECTF,"October 22, 2021 12:00:00( IST )",2 days 02:16:10,https://ctftime.org/event/1437/,"Everywhere, Worldwide",Digital Only
Contest,ASIS CTF Quals 2021,"October 22, 2021 15:00:00( IST )",2 days 00:00:00,https://ctftime.org/event/1415/,"Everywhere, Worldwide",Digital Only
Contest,BuckeyeCTF 2021,"October 23, 2021 00:00:00( IST )",2 days 00:00:00,https://ctftime.org/event/1434/,"Everywhere, Worldwide",Digital Only
Contest,Angel One Mobile Application Developer Hiring Challenge,"October 08, 2021 12:30:00( IST )",16 days 05:55:00,https://www.hackerearth.com/challenges/hiring/angel-one-mobile-application-developer-hiring-challenge/,"Everywhere, Worldwide",Digital Only
Contest,Angel One Software Engineer Hiring Challenge,"October 08, 2021 12:30:00( IST )",16 days 05:55:00,https://www.hackerearth.com/challenges/hiring/angel-one-software-engineer-hiring-challenge/,"Everywhere, Worldwide",Digital Only
Contest,Dravya AWS Administrator Hiring Challenge,"October 15, 2021 12:30:00( IST )",9 days 05:55:00,https://www.hackerearth.com/challenges/hiring/dravya-aws-administrator-hiring-challenge/,"Everywhere, Worldwide",Digital Only
Contest,Dravya Python and ML/Deep Learning Developer Hiring Challenge,"October 15, 2021 12:30:00( IST )",9 days 05:55:00,https://www.hackerearth.com/challenges/hiring/dravya-python-and-ml-deep-learning-developer-hiring-challenge/,"Everywhere, Worldwide",Digital Only
Contest,Integrated Digital Label Hackathon. Idea phase. Online,"September 15, 2021 18:30:00( IST )",38 days 23:55:00,https://www.hackerearth.com/challenges/hackathon/bayer-hackathon-2/,"Everywhere, Worldwide",Digital Only
Contest,LocoNav Senior Software Engineer Hiring Challenge,"October 15, 2021 12:30:00( IST )",9 days 05:55:00,https://www.hackerearth.com/challenges/hiring/loconav-senior-software-engineer-hiring-challenge/,"Everywhere, Worldwide",Digital Only
Contest,MishiPay Software Engineer Hiring Challenge,"September 17, 2021 12:30:00( IST )",37 days 05:55:00,https://www.hackerearth.com/challenges/hiring/mishipay-software-engineer-hiring-challenge/,"Everywhere, Worldwide",Digital Only
Contest,Navi Software Development Engineer Hiring Challenge,"October 15, 2021 12:30:00( IST )",9 days 05:55:00,https://www.hackerearth.com/challenges/hiring/navi-software-development-engineer-hiring-challenge/,"Everywhere, Worldwide",Digital Only
Contest,SAP Semicolon; Hackathon 5.0. Idea Phase. Online,"September 23, 2021 04:30:00( IST )",31 days 13:55:00,https://www.hackerearth.com/challenges/hackathon/sap-semi-colon-hackathon-50/,"Everywhere, Worldwide",Digital Only
Contest,SRIB Software Developer Hiring Challenge,"October 14, 2021 12:30:00( IST )",10 days 05:55:00,https://www.hackerearth.com/challenges/hiring/srib-software-developer-hiring-challenge/,"Everywhere, Worldwide",Digital Only
Contest,TCS Full Stack Developer Hiring Challenge,"October 01, 2021 12:30:00( IST )",23 days 05:55:00,https://www.hackerearth.com/challenges/hiring/tcs-full-stack-developer-oct-hiring-challenge/,"Everywhere, Worldwide",Digital Only
Contest,TCS Full Stack Developer Hiring Challenge,"October 01, 2021 12:30:00( IST )",23 days 05:55:00,https://www.hackerearth.com/challenges/hiring/tcs-full-stack-developer-hiring-challenge/,"Everywhere, Worldwide",Digital Only
Contest,Tech Mahindra Java Full Stack Software Engineer Hiring Challenge,"October 08, 2021 12:30:00( IST )",16 days 05:55:00,https://www.hackerearth.com/challenges/hiring/tech-mahindra-java-full-stack-software-engineer-hiring-challenge/,"Everywhere, Worldwide",Digital Only
Contest,Juspay Hackathon. Idea Phase. Online,"October 06, 2021 06:30:00( IST )",18 days 11:59:00,https://www.hackerearth.com/challenges/hackathon/juspay/,"Everywhere, Worldwide",Digital Only
Contest,HackerEarth Drive 19th jan,"January 19, 2021 09:30:00( IST )",284 days 00:30:00,https://www.hackerearth.com/challenges/competitive/hackerearth-test-draft-11-46/,"Everywhere, Worldwide",Digital Only
Contest,FLIP Fest. Buildathon. Online,"September 15, 2021 04:00:00( IST )",45 days 23:59:00,https://www.hackerearth.com/challenges/hackathon/flip-fest/,"Everywhere, Worldwide",Digital Only
Contest,Data Story Telling,"October 22, 2021 12:30:00( IST )",9 days 05:55:00,https://www.hackerearth.com/challenges/hiring/data-story-telling/,"Everywhere, Worldwide",Digital Only
Contest,Dravya Full Stack Developer Hiring Challenge,"October 15, 2021 12:30:00( IST )",16 days 05:55:00,https://www.hackerearth.com/challenges/hiring/dravya-full-stack-developer-hiring-challenge/,"Everywhere, Worldwide",Digital Only
Contest,Dravya Mobile Application Developer Hiring Challenge,"October 15, 2021 12:30:00( IST )",16 days 05:55:00,https://www.hackerearth.com/challenges/hiring/dravya-mobile-application-developer-hiring-challenge/,"Everywhere, Worldwide",Digital Only
Contest,FloBiz Android Developer Hiring Challenge,"October 22, 2021 12:30:00( IST )",9 days 05:55:00,https://www.hackerearth.com/challenges/hiring/flobiz-android-developer-hiring-challenge/,"Everywhere, Worldwide",Digital Only
Contest,Omnicell Tech Challenge for Java Developers,"October 15, 2021 12:30:00( IST )",16 days 05:55:00,https://www.hackerearth.com/challenges/hiring/omnicell-tech-challenge-for-java-developers/,"Everywhere, Worldwide",Digital Only
Contest,ZS Ace-a-Thon (Women only Hiring Challenge),"October 23, 2021 03:30:00( IST )",8 days 14:55:00,https://www.hackerearth.com/challenges/hiring/zs-ace-a-thon-women-only-hc/,"Everywhere, Worldwide",Digital Only
Contest,Prasaga Use Case Ideathon. Registration  and Ideation. Online,"August 19, 2021 07:00:00( IST )",73 days 23:59:00,https://www.hackerearth.com/challenges/hackathon/prasaga-use-case-ideathon/,"Everywhere, Worldwide",Digital Only
Contest,Ecothon. Hackathon. Online,"September 17, 2021 16:00:00( IST )",45 days 00:00:00,https://www.hackerearth.com/challenges/hackathon/ecothon/,"Everywhere, Worldwide",Digital Only
Contest,The World After Covid-19. Idea phase. Online,"September 29, 2021 00:00:00( IST )",37 days 23:55:00,https://www.hackerearth.com/challenges/hackathon/kpmgs-fullstack-azure-hiring-challenge/,"Everywhere, Worldwide",Digital Only
Contest,Shell.ai Hackathon,"October 07, 2021 12:30:00( IST )",31 days 05:55:00,https://www.hackerearth.com/challenges/competitive/shell-ai-hackathon-2021/,"Everywhere, Worldwide",Digital Only
Contest,I3 – Innovate – Ideate – Implement. Idea Phase. Online,"September 27, 2021 18:30:00( IST )",40 days 23:59:00,https://www.hackerearth.com/challenges/hackathon/i3-innovate-ideate-implement/,"Everywhere, Worldwide",Digital Only
Contest,Enter the Travel-Verse. Hackathon. Online,"October 01, 2021 04:00:00( IST )",41 days 00:59:00,https://www.hackerearth.com/challenges/hackathon/enter-the-travel-verse/,"Everywhere, Worldwide",Digital Only
Contest,Smart Home - Sensors and Analytics Hackathon. Prototype Development Phase. Online,"October 18, 2021 08:00:00( IST )",25 days 23:59:00,https://www.hackerearth.com/challenges/hackathon/hack-iot/,"Everywhere, Worldwide",Digital Only
Contest,Clevertap Frontend Engineer Hiring Challenge,"October 21, 2021 12:30:00( IST )",24 days 05:55:00,https://www.hackerearth.com/challenges/hiring/clevertap-frontend-engineer-hiring-challenge/,"Everywhere, Worldwide",Digital Only
Contest,IBM Z Student Contest. Contest. Online,"October 15, 2021 04:00:00( IST )",32 days 00:59:00,https://www.hackerearth.com/challenges/hackathon/ibm-z-student-contest-powered-by-ibm-z-xplore/,"Everywhere, Worldwide",Digital Only
Contest,INNOVATE - Algorand Blockchain Hackathon. Idea Phase. Online,"October 10, 2021 18:30:00( IST )",92 days 23:59:00,https://algorand-innovate.hackerearth.com/,"Everywhere, Worldwide",Digital Only
Contest,Augnito Backend Developer Hiring Challenge,"May 21, 2021 12:30:00( IST )",254 days 05:55:00,https://www.hackerearth.com/challenges/hiring/augnito-backend-developer-hiring-challenge/,"Everywhere, Worldwide",Digital Only
Contest,Warwick ICPC training 21 Oct 2021,"October 21, 2021 18:00:00( IST )",3 days 18:00:00,https://www.spoj.com/UW211021/,"Everywhere, Worldwide",Digital Only
Contest,CIS CS Club Weekly Problems,"January 01, 2020 00:00:00( IST )",711 days 00:00:00,https://www.spoj.com/ASCXD/,"Everywhere, Worldwide",Digital Only
Contest,UFTM012021,"August 23, 2021 00:00:00( IST )",130 days 00:00:00,https://www.spoj.com/CWPQLWOS/,"Everywhere, Worldwide",Digital Only
Contest,UFTM-PROG-01-2021,"August 23, 2021 00:00:00( IST )",130 days 00:00:00,https://www.spoj.com/PWEOREEW/,"Everywhere, Worldwide",Digital Only
Contest,EGG Club Contest,"January 01, 2005 00:00:00( IST )",6209 days 00:00:00,https://www.spoj.com/EGGCT/,"Everywhere, Worldwide",Digital Only
Contest,GRUPA P,"January 01, 2005 00:00:00( IST )",6209 days 00:00:00,https://www.spoj.com/GRUPAP/,"Everywhere, Worldwide",Digital Only
Contest,Программчлал,"January 01, 2005 00:00:00( IST )",6209 days 00:00:00,http://www.spoj.com/MJEED/,"Everywhere, Worldwide",Digital Only
Contest,Data Sprint 51 - Predict the image of the species,"October 15, 2021 15:30:00( IST )",10 days 00:00:00,https://dphi.tech/challenges/data-sprint-51-predict-the-image-of-the-species/167/,"Everywhere, Worldwide",Digital Only
Contest,AETA Earthquake Prediction AI Algorithm Competition 2021. Research,"March 31, 2021 18:30:00( IST )",213 days 23:59:59,https://dphi.tech/challenges/aeta-earthquake-prediction-ai-algorithm-competition-2021/70/,"Everywhere, Worldwide",Digital Only
Contest,IIT Bombay Techfest - Tata Communications Datathon,"September 29, 2021 15:26:06( IST )",46 days 03:03:53,https://dphi.tech/challenges/iit-bombay-techfest-tata-communications-datathon/165/,"Everywhere, Worldwide",Digital Only
Contest,Replay of AETA Earthquake Prediction Competition 2020. Research,"April 08, 2021 09:42:00( IST )",236 days 05:48:00,https://dphi.tech/challenges/replay-of-aeta-earthquake-prediction-competition-2020/73/,"Everywhere, Worldwide",Digital Only
Contest,Spooktober,"October 09, 2021 17:00:00( IST )",21 days 00:00:00,https://app.codility.com/programmers/challenges/spooktober_2021/,"Everywhere, Worldwide",Digital Only
Contest,Math problems 6-8 grade,"October 16, 2021 16:27:00( IST )",15 days 02:59:00,https://www.e-olymp.com/en/contests/22121,"Everywhere, Worldwide",Digital Only
Contest,ООП1,"October 13, 2021 05:00:00( IST )",31 days 05:00:00,https://www.e-olymp.com/en/contests/22045,"Everywhere, Worldwide",Digital Only
Contest,ООП2,"October 13, 2021 05:00:00( IST )",31 days 05:00:00,https://www.e-olymp.com/en/contests/22046,"Everywhere, Worldwide",Digital Only
