Category,Name,Date/Time,Length,Link,Image,Location,Type
MLH,DubHacks,Oct 23rd - 24th        ( EST ),1 days,https://dh21.dubhacks.co/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/459/thumb/DH_Splash.png?1634302894,"Everywhere, Worldwide",Digital Only
MLH,HackDuke,Oct 23rd - 24th        ( EST ),1 days,https://2021.hackduke.org/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/125/thumb/mlh_cover_%281%29.png?1633031873,"Durham, North Carolina","Hybrid, In-Person Focus"
MLH,hackCBS 4.0,Oct 29th - 31st        ( EST ),2 days,https://hackcbs.tech/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/229/thumb/_1631543000803_1630744938173_bg_MLH_hackcbs.png?1633417820,"Everywhere, Worldwide",Digital Only
MLH,HackNITR 3.0,Oct 29th - 31st        ( EST ),2 days,https://hacknitr.tech/#home,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/208/037/thumb/Frame_90.png?1629899872,"Everywhere, Worldwide",Digital Only
MLH,Hack-O-Lantern,Oct 29th - 31st        ( EST ),2 days,https://organize.mlh.io/participants/events/7477-hack-o-lantern,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/208/713/thumb/hack-o-lantern_mlh-event-hero.png?1632246294,"Everywhere, Worldwide",Digital Only
MLH,HackUMBC,Oct 29th - 31st        ( EST ),2 days,https://www.hackumbc.org/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/208/807/thumb/_1631938649654_New_Background_1%281%29.png?1632160313,"Everywhere, Worldwide","Hybrid, Digital Focus"
MLH,VolHacks,Oct 29th - 31st        ( EST ),2 days,https://volhacks.org/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/098/thumb/_1631923760615_background_300_300.png?1632931477,"Knoxville, Tennessee","Hybrid, In-Person Focus"
MLH,HackTX,Oct 30th - 31st        ( EST ),1 days,https://hacktx.com/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/575/thumb/_1633580005301_EventBackground.png?1634820132,"Everywhere, Worldwide","Hybrid, Digital Focus"
MLH,Agent:Hacker,Nov 5th - 7th        ( EST ),2 days,https://organize.mlh.io/participants/events/7562-agent-hacker,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/275/thumb/agent_hacker_mlh-event-hero.png?1633626302,"Everywhere, Worldwide",Digital Only
MLH,Hack K-State,Nov 5th - 7th        ( EST ),2 days,https://hackkstate.tech/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/553/thumb/_1634241921615_hackkstate-background-resized.png?1634756437,"Manhattan, Kansas","Hybrid, In-Person Focus"
MLH,Tigerhacks,Nov 5th - 7th        ( EST ),2 days,https://tigerhacks.com/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/595/thumb/_1634513777358_columns.jpeg?1634940517,"Columbia, Missouri","Hybrid, Digital Focus"
MLH,hackPHS,Nov 6th - 7th        ( EST ),1 days,https://www.hackphs.tech/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/417/thumb/_1633117549413_Screen_Shot_2021-10-01_at_3.40.21_PM.png?1634134885,"Everywhere, Worldwide","Hybrid, Digital Focus"
MLH,DevJams 21',Nov 12th - 14th        ( EST ),2 days,https://devjams.dscvit.com/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/097/thumb/_1632208990237_event_bg.png?1632930866,"Everywhere, Worldwide",Digital Only
